Delivery,DriveThrough,Parking,Wlan,address,map_url,name
,ドライブスルー,パーキング,無線LAN,新潟県新潟市東区牡丹山3-2-19 ,//map.yahoo.co.jp/maps?lat=37.9201039&lon=139.0960119&hlat=37.9201039&hlon=139.0960119&z=16&datum=tky&home=on,牡丹山店
,,,無線LAN,新潟県新潟市中央区花園1-1-21,//map.yahoo.co.jp/maps?lat=37.9098683&lon=139.0647017&hlat=37.9098683&hlon=139.0647017&z=16&datum=tky&home=on,CoCoLo新潟店
,,パーキング,無線LAN,新潟県新潟市中央区上近江4-12-20,//map.yahoo.co.jp/maps?lat=37.89547&lon=139.0327169&hlat=37.89547&hlon=139.0327169&z=16&datum=tky&home=on,新潟出来島店
,,パーキング,,新潟県新潟市江南区下早通柳田1-1-1,//map.yahoo.co.jp/maps?lat=37.8731992&lon=139.0844958&hlat=37.8731992&hlon=139.0844958&z=16&datum=tky&home=on,イオンモール新潟南店
,,パーキング,無線LAN,新潟県新潟市江南区鵜ノ子4-466 ,//map.yahoo.co.jp/maps?lat=37.8689514&lon=139.0924564&hlat=37.8689514&hlon=139.0924564&z=16&datum=tky&home=on,アピタ新潟亀田店
,ドライブスルー,パーキング,無線LAN,新潟県新潟市秋葉区新津4570-3 ,//map.yahoo.co.jp/maps?lat=37.7888322&lon=139.1136008&hlat=37.7888322&hlon=139.1136008&z=16&datum=tky&home=on,新津店
,,パーキング,無線LAN,新潟県新潟市西区小新白鳥474,//map.yahoo.co.jp/maps?lat=37.8774897&lon=139.006535&hlat=37.8774897&hlon=139.006535&z=16&datum=tky&home=on,アピタ新潟西店　
,ドライブスルー,パーキング,無線LAN,新潟県新潟市西区大野字村上176番4,//map.yahoo.co.jp/maps?lat=37.8611391&lon=138.9557569&hlat=37.8611391&hlon=138.9557569&z=16&datum=tky&home=on,新潟新通店
,ドライブスルー,パーキング,無線LAN,新潟県長岡市東栄1-1-30 ,//map.yahoo.co.jp/maps?lat=37.45485&lon=138.8660436&hlat=37.45485&hlon=138.8660436&z=16&datum=tky&home=on,長岡川崎店
,,パーキング,無線LAN,新潟県長岡市千秋2-278,//map.yahoo.co.jp/maps?lat=37.4578771&lon=138.8299676&hlat=37.4578771&hlon=138.8299676&z=16&datum=tky&home=on,リバーサイド千秋店
,,,,神奈川県横浜市鶴見区鶴見中央1-30-22,//map.yahoo.co.jp/maps?lat=35.5039396&lon=139.6812245&hlat=35.5039396&hlon=139.6812245&z=16&datum=tky&home=on,京急鶴見店
お届けケンタッキー（デリバリー）,ドライブスルー,パーキング,無線LAN,神奈川県横浜市鶴見区岸谷2-20-3 ,//map.yahoo.co.jp/maps?lat=35.4947042&lon=139.6651537&hlat=35.4947042&hlon=139.6651537&z=16&datum=tky&home=on,岸谷店
,,パーキング,無線LAN,神奈川県横浜市神奈川区富家町1　東神奈川イオンSC内1F,//map.yahoo.co.jp/maps?lat=35.4768347&lon=139.6364056&hlat=35.4768347&hlon=139.6364056&z=16&datum=tky&home=on,イオン東神奈川店
お届けケンタッキー（デリバリー）,,,無線LAN,神奈川県横浜市西区南幸2-7-18 ,//map.yahoo.co.jp/maps?lat=35.46114&lon=139.6218419&hlat=35.46114&hlon=139.6218419&z=16&datum=tky&home=on,横浜西口店
,,,無線LAN,神奈川県横浜市西区高島2-16　B1,//map.yahoo.co.jp/maps?lat=35.4621461&lon=139.6259367&hlat=35.4621461&hlon=139.6259367&z=16&datum=tky&home=on,横浜ポルタ店
,,パーキング,無線LAN,神奈川県横浜市西区みなとみらい2-3-8 　みなとみらい東急スクエア　フードコート内　,//map.yahoo.co.jp/maps?lat=35.453395&lon=139.6377719&hlat=35.453395&hlon=139.6377719&z=16&datum=tky&home=on,みなとみらい東急スクエア店
,,,,神奈川県横浜市中区横浜公園 ,//map.yahoo.co.jp/maps?lat=35.4397747&lon=139.64257&hlat=35.4397747&hlon=139.64257&z=16&datum=tky&home=on,横浜スタジアム店
,,,無線LAN,神奈川県横浜市中区伊勢佐木町1-2-1 ,//map.yahoo.co.jp/maps?lat=35.441815&lon=139.6370978&hlat=35.441815&hlon=139.6370978&z=16&datum=tky&home=on,伊勢佐木町店
,,,無線LAN,神奈川県横浜市中区日の出町1-2 スカイコート,//map.yahoo.co.jp/maps?lat=35.4427&lon=139.6304378&hlat=35.4427&hlon=139.6304378&z=16&datum=tky&home=on,日の出町店
,,,無線LAN,神奈川県横浜市中区本牧原15-6 ,//map.yahoo.co.jp/maps?lat=35.4205178&lon=139.6688874&hlat=35.4205178&hlon=139.6688874&z=16&datum=tky&home=on,本牧店
お届けケンタッキー（デリバリー）,,,無線LAN,東京都千代田区外神田1丁目4番11号,//map.yahoo.co.jp/maps?lat=35.6953258&lon=139.7740908&hlat=35.6953258&hlon=139.7740908&z=16&datum=tky&home=on,秋葉原店
,,,,東京都中央区日本橋人形町二丁目6番2,//map.yahoo.co.jp/maps?lat=35.6829201&lon=139.7861023&hlat=35.6829201&hlon=139.7861023&z=16&datum=tky&home=on,日本橋人形町店
,,,,東京都中央区銀座西3-1 INZ1,//map.yahoo.co.jp/maps?lat=35.6704023&lon=139.7674522&hlat=35.6704023&hlon=139.7674522&z=16&datum=tky&home=on,銀座INZ店
,,,無線LAN,東京都港区新橋3-16-24,//map.yahoo.co.jp/maps?lat=35.6627439&lon=139.7599558&hlat=35.6627439&hlon=139.7599558&z=16&datum=tky&home=on,新橋店
お届けケンタッキー（デリバリー）,,,無線LAN,東京都港区北青山3-10-7,//map.yahoo.co.jp/maps?lat=35.6608332&lon=139.7144354&hlat=35.6608332&hlon=139.7144354&z=16&datum=tky&home=on,北青山店
お届けケンタッキー（デリバリー）,,パーキング,,東京都港区芝浦4丁目22-2,//map.yahoo.co.jp/maps?lat=35.6378396&lon=139.7560523&hlat=35.6378396&hlon=139.7560523&z=16&datum=tky&home=on,ピーコックストア芝浦アイランド店
お届けケンタッキー（デリバリー）,,,,東京都新宿区四谷1-3,//map.yahoo.co.jp/maps?lat=35.6830561&lon=139.7324586&hlat=35.6830561&hlon=139.7324586&z=16&datum=tky&home=on,四谷駅前店
,,,無線LAN,東京都新宿区新宿3-20-6 FSビル,//map.yahoo.co.jp/maps?lat=35.6897178&lon=139.7062028&hlat=35.6897178&hlon=139.7062028&z=16&datum=tky&home=on,新宿店
,,,無線LAN,東京都新宿区西新宿1-2-10 ,//map.yahoo.co.jp/maps?lat=35.6897278&lon=139.7026419&hlat=35.6897278&hlon=139.7026419&z=16&datum=tky&home=on,新宿西口店
お届けケンタッキー（デリバリー）,,,無線LAN,東京都新宿区西新宿1-18-17 ,//map.yahoo.co.jp/maps?lat=35.6857858&lon=139.7018208&hlat=35.6857858&hlon=139.7018208&z=16&datum=tky&home=on,新宿南口店
,,パーキング,,千葉県千葉市中央区新千葉1-1-1 1Fフードコート内,//map.yahoo.co.jp/maps?lat=35.6087984&lon=140.117847&hlat=35.6087984&hlon=140.117847&z=16&datum=tky&home=on,ペリエ千葉店
お届けケンタッキー（デリバリー）,ドライブスルー,パーキング,無線LAN,千葉県千葉市中央区南町1-2-12 ,//map.yahoo.co.jp/maps?lat=35.5823789&lon=140.1341931&hlat=35.5823789&hlon=140.1341931&z=16&datum=tky&home=on,蘇我店
,,パーキング,無線LAN,千葉県千葉市花見川区幕張町4-417-25 ,//map.yahoo.co.jp/maps?lat=35.6532586&lon=140.0544917&hlat=35.6532586&hlon=140.0544917&z=16&datum=tky&home=on,イトーヨーカドー幕張店
,,パーキング,無線LAN,千葉県千葉市稲毛区長沼原町731-17,//map.yahoo.co.jp/maps?lat=35.6535008&lon=140.1306369&hlat=35.6535008&hlon=140.1306369&z=16&datum=tky&home=on,マミーマート稲毛長沼店
,,パーキング,無線LAN,千葉県千葉市稲毛区小仲台1-4-20,//map.yahoo.co.jp/maps?lat=35.6334417&lon=140.0982258&hlat=35.6334417&hlon=140.0982258&z=16&datum=tky&home=on,イオン稲毛店
,ドライブスルー,パーキング,,千葉県千葉市若葉区都賀3-30-9 ,//map.yahoo.co.jp/maps?lat=35.6329853&lon=140.1560203&hlat=35.6329853&hlon=140.1560203&z=16&datum=tky&home=on,都賀店
,,パーキング,無線LAN,千葉県千葉市緑区おゆみ野3-16-1,//map.yahoo.co.jp/maps?lat=35.5581981&lon=140.180835&hlat=35.5581981&hlon=140.180835&z=16&datum=tky&home=on,イオン鎌取店
,ドライブスルー,パーキング,無線LAN,千葉県千葉市緑区おゆみ野中央2-3-1,//map.yahoo.co.jp/maps?lat=35.5512497&lon=140.1648853&hlat=35.5512497&hlon=140.1648853&z=16&datum=tky&home=on,ミスターマックスおゆみ野店
,,パーキング,無線LAN,千葉県千葉市緑区あすみが丘7-1,//map.yahoo.co.jp/maps?lat=35.5174244&lon=140.2705411&hlat=35.5174244&hlon=140.2705411&z=16&datum=tky&home=on,土気あすみが丘店
,,パーキング,無線LAN,千葉県千葉市美浜区高洲3-13-1　マリンピア　1階,//map.yahoo.co.jp/maps?lat=35.6251446&lon=140.0763866&hlat=35.6251446&hlon=140.0763866&z=16&datum=tky&home=on,稲毛マリンピア店
